areacode	cities	locodes	state name	state	country	parent areacode	introduced	overlay
671	Dededo	GUDED	Guam	GU	US		1997-07-01	No
678	Atlanta	USATL	Georgia	GA	US	770	1998-01-06	Yes
681	Charleston	USCRW	West Virginia	WV	US
682	Dallas	USDAL	Texas	TX	US	817	2000-10-07	Yes
684	Pago Pago	ASPPG	American Samoa	AS	US
700			Not Applicable	NA	NA
701	Fargo	USFAR	North Dakota	ND	US		1952	No
702	Las Vegas	USLAS	Nevada	NV	US		1952	No
703	Alexandria	USAXR	Virginia	VA	US		1952	No
704	Charlotte	USCLT	North Carolina	NC	US		1952	No
705	Peterborough	CAPBH	Ontario	ON	CA	613/519	1957
706	Augusta	USAGS	Georgia	GA	US	404	1992-05-03
707	Santa Rosa	USSTS	California	CA	US	415	1959
708	Chicago	USCHI	Illinois	IL	US	312	1989/11
709	Saint John's	CASJF	Newfoundland and Labrador	NL	CA	506	1962
710			Not Applicable	NA	NA
712	Sioux City	USSUX	Iowa	IA	US		1952	No
713	Houston	USHOU	Texas	TX	US		1952	No
714	Long Beach	USLGB	California	CA	US		1952	No
715	Green Bay	USGRB	Wisconsin	WI	US		1952	No
716	Buffalo	USBUF	New York	NY	US		1952	No
717	Lancaster	USLNS	Pennsylvania	PA	US		1952	No
718	Brooklyn	USBOY	New York	NY	US	212	1984-09-02
719	Colorado Springs	USCOS	Colorado	CO	US	303	1988-03-05
720	Denver	USDEN	Colorado	CO	US	303	1998-06-01	Yes
721			Saint Martin	MF	MF
724	Pittsburgh	USPIT	Pennsylvania	PA	US	412	1998-02-01	No
725	Las Vegas	USLAS	Nevada	NV	US
727	Tampa	USTPA	Florida	FL	US	813	1998-07-01	No
731	Jackson	USMKL	Tennessee	TN	US
732	Newark	USEWR	New Jersey	NJ	US	908	1997-06-01	No
734	Detroit	USDET	Michigan	MI	US	313	1997-12-13	No
737	Austin	USAUS	Texas	TX	US
740	Columbus	USCMH	Ohio	OH	US	614	1997-12-06	No
747	Los Angeles	USLAX	California	CA	US
754	Fort Lauderdale	USFLL	Florida	FL	US
757	Virginia Beach	USVAB	Virginia	VA	US	804	1996-07-01	No
758			Saint Lucia	LC	LC	809	1996-07-01	No
760	San Diego	USSAN	California	CA	US	619	1997-03-22	No
762	Augusta	USAGS	Georgia	GA	US
763	Minneapolis	USMES	Minnesota	MN	US	612	2000-02-27	No
765	Indianapolis	USIND	Indiana	IN	US	317	1997-02-01	No
767			Dominica	DM	DM	809	1997-10-01	No
769	Jackson	USJAN	Mississippi	MS	US
770	Atlanta	USATL	Georgia	GA	US	404	1995-08-01	No
772	Port Saint Lucie	USPZL	Florida	FL	US
773	Chicago	USCHI	Illinois	IL	US	312	1996-10-12	No
774	Boston	USBOS	Massachusetts	MA	US
775	Reno	USRNO	Nevada	NV	US	702	1998-12-12	No
778	Vancouver	CAVAN	British Columbia	BC	CA
779	Rockford	USRFD	Illinois	IL	US
780	Edmonton	CAEDM	Alberta	AB	CA	403	1999-01-25	No
781	Boston	USBOS	Massachusetts	MA	US	617	1997-09-01	No
782			Nova Scotia	NS	CA
784			Saint Vincent and the Grenadines	VC	VC	809	1998-06-01	No
785	Topeka	USTOP	Kansas	KS	US	913	1997-07-20	No
786	Miami	USMIA	Florida	FL	US	305	1998-03-01	Yes
787	San Juan	PRSJU	Puerto Rico	PR	US	809	1996-03-01	No
800			Not Applicable	NA	NA
801	Salt Lake City	USSLC	Utah	UT	US		1952	No
802	Shelburne	USSB8	Vermont	VT	US		1952	No
803	Columbia	USCAE	South Carolina	SC	US		1952	No
804	Richmond	USRIC	Virginia	VA	US	703	1973-06-24
805	Bakersfield	USBFL	California	CA	US	213/415/916	1957
806	Lubbock	USLBB	Texas	TX	US	915/817	1957
807	Thunder Bay	CATHU	Ontario	ON	CA	705	1962
808	Honolulu	USHNL	Hawaii	HI	US		1957	No
809			Dominican Republic	DO	DO		1958
810	Flint	USFNT	Michigan	MI	US	313	1993-12-01
812	Evansville	USEVV	Indiana	IN	US		1952	No
813	Tampa	USTPA	Florida	FL	US	305	1953
814	Erie	USERI	Pennsylvania	PA	US		1952	No
815	Chicago	USCHI	Illinois	IL	US		1952	No
816	Kansas City	USMKC	Missouri	MO	US		1952	No
817	Dallas	USDAL	Texas	TX	US	915/214	1953
818	Los Angeles	USLAX	California	CA	US	213	1984/01
819	Yamachiche	CAZYE	Quebec	QC	CA	514/418	1957
828	Asheville	USAEV	North Carolina	NC	US	704	1998-03-22	No
829			Dominican Republic	DO	DO
830	New Braunfels	USNHB	Texas	TX	US	210	1997-07-07	No
831	Salinas	USSNS	California	CA	US	408	1998-07-11	No
832	Houston	USHOU	Texas	TX	US	713	1999-01-16	Yes
843	Charleston	USCHS	South Carolina	SC	US	803	1998-03-22	No
844			Not Applicable	NA	NA
845	Poughkeepsie	USPOU	New York	NY	US	914	2000-06-05	No
847	Chicago	USCHI	Illinois	IL	US	708	1996-01-20	No
848	Newark	USEWR	New Jersey	NJ	US
849			Dominican Republic	DO	DO
850	Pensacola	USPNS	Florida	FL	US	904	1997-06-23	No
855			Not Applicable	NA	NA
856	Camden	USCDE	New Jersey	NJ	US	609	1999-06-12	No
857	Boston	USBOS	Massachusetts	MA	US
858	San Diego	USSAN	California	CA	US	619	1999-06-12	No
859	Lexington	USLEX	Kentucky	KY	US	606	2000-04-01	No
860	Hartford	USHFD	Connecticut	CT	US	203	1995-08-28	No
862	Newark	USEWR	New Jersey	NJ	US
863	Kissimmee	USISM	Florida	FL	US	941	1999-09-20	No
864	Greenville	USGV9	South Carolina	SC	US	803	1995-12-03	No
865	Knoxville	USTYS	Tennessee	TN	US	423	1999-11-01	No
866			Not Applicable	NA	NA		2000-07-29
867	Yellowknife	CAYZF	Yukon	YT	CA	403	1997-10-21	No
868			Trinidad and Tobago	TT	TT	809	1997-06-01	No
